machine,ftype,feature,group,n,median_sdr,q25,q75,frac_detectable,healthy_false_alarm,median_delta
WFSG,TURNS,V2_V1,dq / control,176,9.449979662993108,1.7710894052870225,13.17553757251413,0.7954545454545454,,0.014321323622761287
WFSG,TURNS,Te_2fe,mechanical,176,0.8792884071115092,0.4293587096601613,1.8197978070897052,0.44886363636363635,,0.4378232205461323
WFSG,TURNS,Te_1fe,mechanical,176,0.44708935143841144,0.20248825255365754,0.7045549655027353,0.056818181818181816,,-0.10379903511040586
WFSG,TURNS,Te_std,mechanical,176,0.5659970678739652,0.30498894659217646,0.8396769434395654,0.1590909090909091,,-0.02586954798083929
WFSG,TURNS,Spd_std,mechanical,176,1.5831757094283827,0.4675437631390651,3.1791632319013905,0.6022727272727273,,2.1328741413624943
WFSG,TURNS,Vdc_std,mechanical,176,0.6907357133200194,0.2912012700251406,1.1070045893335778,0.2897727272727273,,0.02181705468934609
WFSG,TURNS,If_2fe,excitation,176,3.648891481866592,0.8455457252363078,6.350577435170471,0.7159090909090909,,1.2374954387663144
WFSG,TURNS,If_std,excitation,176,1.4254972792042104,0.6080021300477958,2.8154415970841793,0.6079545454545454,,0.036541538256513115
WFSG,WINDINGS,I2_I1,stator current,258,20.19745086863547,11.782229284000481,62.1949933827293,1.0,,1.6226243136995993
WFSG,WINDINGS,I0_I1,stator current,258,0.6643172817186592,0.26411286406832557,1.2348347228803338,0.32558139534883723,,0.04215343174138594
WFSG,WINDINGS,I_unbal_rms,stator current,258,8.704985303538555,4.104434965410714,30.889794633959124,0.9651162790697675,,0.6793986349206914
WFSG,WINDINGS,Ia_h3,stator current,258,21.842371653914547,11.538906054641664,47.289991664820015,0.9961240310077519,,12.224958832287271
WFSG,WINDINGS,Ia_h5,stator current,258,3.195954701769595,1.339945079083487,6.976675013218961,0.8294573643410853,,-0.02229910438034223
WFSG,WINDINGS,Ia_h7,stator current,258,1.3188419413291306,0.638549100966846,2.341023644275761,0.5891472868217055,,-0.05827966249997688
WFSG,WINDINGS,Ia_thd,stator current,258,8.389974617584151,1.8566338385033971,21.041839305365638,0.8333333333333334,,0.29591277843274344
WFSG,WINDINGS,Id_2fe,dq / control,258,6.653690067952024,2.9709125980084865,13.405938464657442,0.9224806201550387,,1.0490421652105715
WFSG,WINDINGS,Iq_2fe,dq / control,258,32.99003450016197,17.682848781613693,92.24641797205628,1.0,,2.699277862327051
WFSG,WINDINGS,Id_1fe,dq / control,258,0.6189143681869831,0.30785031578128574,1.073856166223015,0.29457364341085274,,-0.01614420888939444
WFSG,WINDINGS,Iq_1fe,dq / control,258,0.5097859256780494,0.2231197898292065,0.8890016367305957,0.19767441860465115,,0.1565510758124673
WFSG,WINDINGS,Id_std,dq / control,258,3.1789403504313087,1.166899683510349,7.015981587869023,0.7713178294573644,,0.07237656378297475
WFSG,WINDINGS,Iq_std,dq / control,258,24.26131666484246,8.47556486200935,42.24172123265416,0.9534883720930233,,0.7840650151513018
WFSG,WINDINGS,Vd_2fe,dq / control,258,20.58580654770958,12.541928029380164,66.35948307219891,0.9961240310077519,,1.1291166647419226
WFSG,WINDINGS,Vq_2fe,dq / control,258,4.445009062549435,1.8275603118279982,11.040971494034514,0.8682170542635659,,0.32462830598151404
WFSG,WINDINGS,Vdconv_2fe,dq / control,258,6.803239756638843,3.0106950463054285,13.58903519638142,0.9186046511627907,,1.0570432915060504
WFSG,WINDINGS,Vqconv_2fe,dq / control,258,31.928375966965525,17.154651944652635,89.51263638313102,1.0,,2.706660756783121
WFSG,WINDINGS,D2_D1,dq / control,258,26.949476150692625,15.491422092014334,81.35936698642587,1.0,,1.716208483761363
WFSG,WINDINGS,V2_V1,dq / control,258,15.404526950705508,7.082559020632894,75.60297795969271,0.9651162790697675,,0.5612238823688206
WFSG,WINDINGS,Te_2fe,mechanical,258,4.388041703656472,1.7432067979289605,8.813258813775349,0.8604651162790697,,2.5174995841834304
WFSG,WINDINGS,Te_1fe,mechanical,258,0.5065550589664043,0.21983643719121992,0.7901595819555166,0.13953488372093023,,0.017588396178648213
WFSG,WINDINGS,Te_std,mechanical,258,0.8584969223442687,0.3357489661879242,1.8795393312180309,0.4496124031007752,,0.15154126963813203
WFSG,WINDINGS,Spd_std,mechanical,258,4.709825265593262,2.133364969539578,11.4456430981095,0.8682170542635659,,6.345135577494805
WFSG,WINDINGS,Vdc_std,mechanical,258,1.4248753050267047,0.5870839304205646,3.2875320975764812,0.6007751937984496,,0.13098361384369733
WFSG,WINDINGS,If_2fe,excitation,258,14.238042324664047,7.86724904543161,34.92001359065069,1.0,,4.828730183206277
WFSG,WINDINGS,If_std,excitation,258,10.076363315237927,3.5335632453364663,25.58423532327206,0.9496124031007752,,0.2611620630320521
