alpha,e_req_pct,machine,ftype,suite,cost_rank,fixed_feature,mde_monotone_pct,mde_ci_lo,mde_ci_hi,p_meets,verdict,ds_conditional,ds_all,smallest_extent_tested_pct
0.9,8,SCIG,WINDINGS,drive-internal,0,Vdconv_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,12,SCIG,WINDINGS,drive-internal,0,Vdconv_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,3,SCIG,WINDINGS,3 CT,1,I2_I1,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,5,SCIG,WINDINGS,3 CT,1,I2_I1,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,8,SCIG,WINDINGS,3 CT,1,I2_I1,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,12,SCIG,WINDINGS,3 CT,1,I2_I1,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,3,SCIG,WINDINGS,3 CT + 3 VT,2,I2_I1,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,5,SCIG,WINDINGS,3 CT + 3 VT,2,I2_I1,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,8,SCIG,WINDINGS,3 CT + 3 VT,2,I2_I1,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,12,SCIG,WINDINGS,3 CT + 3 VT,2,I2_I1,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,3,SCIG,WINDINGS,3 CT + 3 VT + drive,3,Vdconv_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,5,SCIG,WINDINGS,3 CT + 3 VT + drive,3,Vdconv_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,8,SCIG,WINDINGS,3 CT + 3 VT + drive,3,Vdconv_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,12,SCIG,WINDINGS,3 CT + 3 VT + drive,3,Vdconv_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,3,WFSG,TURNS,drive-internal,0,Iq_2fe,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.9230769230769231,0.9230769230769231,11.599999999999994
0.9,5,WFSG,TURNS,drive-internal,0,Iq_2fe,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.9230769230769231,0.9230769230769231,11.599999999999994
0.9,8,WFSG,TURNS,drive-internal,0,Iq_2fe,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.9230769230769231,0.9230769230769231,11.599999999999994
0.9,12,WFSG,TURNS,drive-internal,0,Iq_2fe,11.599999999999994,11.599999999999994,11.599999999999994,1.0,meets,0.9365079365079365,0.9230769230769231,11.599999999999994
