machine,ftype,feature,group,median_sdr,q25,q75,frac_detectable,healthy_false_alarm,median_delta
PMSG,WINDINGS,Vdc_std,mechanical,1.677785381089641,0.6845603884943317,4.052174247752436,0.6666666666666666,0.0,-0.004794431124492081
SCIG,TURNS,I2_I1,stator current,4.524813854137895,0.990175754158886,14.522534381960838,0.75,0.1111111111111111,0.04178201540650377
SCIG,TURNS,I0_I1,stator current,0.3888018090841109,0.17755582262711156,0.7248339370865164,0.16666666666666666,0.0,0.00043424656281357656
SCIG,TURNS,I_unbal_rms,stator current,1.2197370880698046,0.44228823219679425,3.289378874160168,0.5648148148148148,0.1111111111111111,-0.013332183124344938
SCIG,TURNS,Ia_h3,stator current,1.031572201416175,0.35718155906722027,2.766956874097283,0.5185185185185185,0.2222222222222222,-0.002197121146480451
SCIG,TURNS,Ia_h5,stator current,0.5474750321515927,0.2666673420922751,1.002063950920287,0.25925925925925924,0.0,-1.8136768489979366e-05
SCIG,TURNS,Ia_h7,stator current,0.3919641313919044,0.22482496555950393,0.7314192540694586,0.2037037037037037,0.3333333333333333,0.0017596323648969483
SCIG,TURNS,Ia_thd,stator current,0.4170361232614769,0.2625814598300536,0.7888978299282532,0.17592592592592593,0.0,-0.006324045793565873
SCIG,TURNS,Id_2fe,dq / control,6.681988120784283,1.12360676773061,19.90167683508102,0.7870370370370371,0.1111111111111111,0.015050310356281741
SCIG,TURNS,Iq_2fe,dq / control,2.2146886073938137,0.6704992177607312,5.851684950667806,0.6759259259259259,0.2222222222222222,0.05596075016523028
SCIG,TURNS,Id_1fe,dq / control,0.29770541581615917,0.10969927067878903,0.52272622089247,0.06481481481481481,0.1111111111111111,-0.0033945626888440207
SCIG,TURNS,Iq_1fe,dq / control,0.41780007452934986,0.21051362067257748,0.6151561028000594,0.046296296296296294,0.0,-0.012490135012110572
SCIG,TURNS,Id_std,dq / control,0.5485118659325208,0.20975209815847604,0.9636104394309276,0.23148148148148148,0.0,0.01758543785329393
SCIG,TURNS,Iq_std,dq / control,0.686509332964751,0.34870074296141185,1.2959138851059022,0.35185185185185186,0.0,-8.046095940887721e-05
